day,t,comp,n,st,val,orphan,culm_Sextantidi diurne,culm_Lincidi di settembre,culm_Tauridi Sud
2026-09-24,2026-09-24 00:32:00,X,8,THY,3.97,-1,,,
2026-09-24,2026-09-24 00:42:00,X,5,BEL,3.53,-1,,,
2026-09-24,2026-09-24 01:44:00,X,8,BEL,4.0,-1,,,
2026-09-24,2026-09-24 01:55:00,X,7,NGK,-4.17,-1,,,
2026-09-24,2026-09-24 05:38:00,X,5,NGK,-4.75,-1,,,
2026-09-24,2026-09-24 09:38:00,X,7,NGK,-4.38,0,,,
2026-09-24,2026-09-24 09:53:00,X,5,NGK,4.88,1,,,
2026-09-24,2026-09-24 10:02:00,X,5,BEL,5.06,1,,,
2026-09-24,2026-09-24 15:48:00,X,5,NGK,4.22,0,,,
2026-09-24,2026-09-24 01:45:00,Y,5,BEL,3.06,-1,,,
2026-09-24,2026-09-24 01:48:00,Y,8,BEL,-4.03,-1,,,
2026-09-24,2026-09-24 01:56:00,Y,8,BEL,3.58,-1,,,
2026-09-24,2026-09-24 05:38:00,Y,6,BEL,4.9,-1,,,
2026-09-24,2026-09-24 09:35:00,Y,6,NGK,-3.29,0,,,
2026-09-24,2026-09-24 09:53:00,Y,7,NGK,-3.21,1,,,
2026-09-24,2026-09-24 10:34:00,Y,6,NGK,-2.66,0,,,
2026-09-24,2026-09-24 15:42:00,Y,5,BEL,3.22,0,,,
2026-09-24,2026-09-24 15:45:00,Y,6,BEL,3.76,0,,,
2026-09-25,2026-09-25 05:46:00,X,7,NGK,-4.36,1,-185.0,-84.0,334.0
2026-09-25,2026-09-25 09:36:00,X,8,BEL,-4.11,1,45.0,146.0,564.0
2026-09-25,2026-09-25 10:33:00,X,8,BEL,3.81,1,102.0,203.0,621.0
2026-09-25,2026-09-25 10:51:00,X,6,NGK,3.65,1,120.0,221.0,639.0
2026-09-25,2026-09-25 11:05:00,X,5,BEL,-3.36,1,134.0,235.0,653.0
2026-09-25,2026-09-25 11:14:00,X,5,BEL,-3.76,1,143.0,244.0,662.0
2026-09-25,2026-09-25 14:30:00,X,7,BEL,-4.62,1,339.0,440.0,-582.0
2026-09-25,2026-09-25 20:56:00,X,5,BEL,5.04,1,-715.0,-614.0,-196.0
2026-09-25,2026-09-25 21:04:00,X,6,NGK,4.66,1,-707.0,-606.0,-188.0
2026-09-25,2026-09-25 07:43:00,Y,7,NGK,4.88,1,-68.0,33.0,451.0
2026-09-25,2026-09-25 10:49:00,Y,7,BEL,4.18,1,118.0,219.0,637.0
2026-09-25,2026-09-25 13:55:00,Y,5,BEL,3.72,1,304.0,405.0,-617.0
2026-09-25,2026-09-25 14:48:00,Y,7,BEL,4.04,1,357.0,458.0,-564.0
2026-09-25,2026-09-25 20:23:00,Y,5,NGK,3.98,1,692.0,-647.0,-229.0
2026-09-25,2026-09-25 20:53:00,Y,6,NGK,5.66,1,-718.0,-617.0,-199.0
2026-09-25,2026-09-25 21:13:00,Y,6,NGK,-4.09,1,-698.0,-597.0,-179.0
